140 670
58 60 83
58 110 77
59 5 116
59 32 264
59 58 115
59 60 63
59 110 388
60 8 208
60 16 38
60 32 188
60 58 83
60 59 63
61 20 187
61 30 180
61 33 105
61 62 100
61 81 54
61 91 72
61 111 113
61 118 65
62 1 173
62 30 235
62 33 149
62 37 114
62 56 44
62 61 100
62 90 168
62 116 271
63 34 247
63 35 298
63 64 260
63 93 46
63 94 243
63 106 70
64 18 116
64 35 181
64 48 43
64 63 260
64 77 185
64 93 167
65 10 86
65 36 227
65 79 222
65 104 83
66 38 110
66 39 508
66 70 154
66 83 107
66 97 149
66 105 144
67 40 248
67 50 51
67 68 118
67 106 147
68 4 136
68 34 85
68 40 66
68 67 118
68 73 101
68 106 106
69 13 151
69 26 212
69 39 14
69 41 344
69 55 170
69 70 206
69 98 33
70 26 139
70 39 108
70 66 154
70 69 206
70 97 143
71 3 129
71 42 118
71 43 207
72 24 144
72 43 147
72 87 177
72 99 198
73 4 161
73 25 260
73 40 67
73 44 171
73 68 101
74 7 127
74 15 22
74 30 55
74 45 377
74 57 136
74 91 363
75 8 196
75 46 127
75 76 272
75 89 95
76 17 202
76 46 141
76 75 272
76 89 187
76 107 146
77 9 93
77 18 211
77 49 29
77 64 185
77 78 173
77 93 87
78 9 134
78 20 171
78 49 142
78 77 173
78 86 133
78 111 115
78 125 12
79 10 190
79 19 53
79 48 342
79 65 222
79 104 101
79 136 6
80 7 143
80 19 95
80 31 185
80 49 125
80 81 110
80 91 130
81 20 105
81 49 49
81 61 54
81 80 110
81 91 106
82 11 176
82 23 258
82 52 217
82 95 131
82 108 108
83 21 117
83 50 192
83 66 107
83 84 145
83 97 215
83 105 36
84 12 194
84 50 323
84 83 145
84 97 48
85 9 108
85 22 101
85 51 226
85 86 120
85 93 135
86 9 128
86 23 135
86 51 169
86 78 133
86 85 120
86 92 348
86 111 65
87 14 86
87 24 14
87 53 170
87 72 177
87 99 83
87 103 112
88 6 183
88 17 92
88 27 233
89 17 81
89 28 225
89 75 95
89 76 187
90 1 222
90 29 149
90 56 105
90 62 168
91 7 77
91 30 265
91 61 72
91 74 363
91 80 130
91 81 106
91 118 115
92 23 128
92 33 230
92 86 348
92 111 87
92 116 91
92 122 24
93 9 243
93 22 157
93 63 46
93 64 167
93 77 87
93 85 135
93 106 103
94 4 286
94 34 78
94 35 59
94 63 243
95 11 33
95 23 187
95 82 131
95 115 99
96 11 174
96 113 150
97 12 161
97 26 84
97 66 149
97 70 143
97 83 215
97 84 48
98 2 74
98 39 196
98 41 225
98 69 33
99 14 143
99 43 210
99 72 198
99 87 83
100 14 249
100 25 140
100 44 230
100 53 31
101 15 142
101 45 238
101 46 175
101 47 139
101 107 62
102 22 34
102 51 121
102 52 259
103 24 176
103 53 155
103 54 43
103 55 278
103 87 112
104 19 264
104 36 166
104 65 83
104 79 101
105 21 117
105 38 109
105 66 144
105 83 36
105 113 106
106 22 265
106 34 146
106 50 61
106 63 70
106 67 147
106 68 106
106 93 103
107 6 86
107 17 124
107 46 79
107 47 201
107 76 146
107 101 62
108 11 211
108 21 135
108 52 71
108 82 108
108 113 81
109 0 246
109 27 249
109 28 117
110 5 165
110 31 94
110 58 77
110 59 388
111 20 98
111 33 134
111 61 113
111 78 115
111 86 65
111 92 87
112 10 135
112 35 166
112 48 197
113 11 54
113 21 45
113 38 186
113 96 150
113 105 106
113 108 81
113 128 12
114 25 69
114 53 74
114 54 41
115 23 38
115 37 103
115 95 99
116 23 25
116 33 112
116 37 203
116 62 271
116 92 91
117 2 57
117 38 157
118 30 12
118 61 65
118 91 115
119 5 60
119 36 56
120 13 86
120 42 154
121 52 110
122 92 24
123 0 10
124 11 20
125 78 12
126 36 16
127 16 22
128 113 12
129 52 14
130 5 6
131 38 6
132 17 6
133 31 6
134 8 6
135 33 6
136 79 6
137 49 6
138 8 6
139 3 2
139 43 4
